"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"77346","Atascocita","TX","Houston-The Woodlands-Sugar Land","Harris County",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1775,1697.5,1700,1744.5,1729,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1800,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799,1789,1795,1795,1812.5,1795,1795,1750,1750,1750,1750,1795,1775,1825,1950,1900,1890,1850,1850,1750,1695,1682.5,1750,1750,1850,1850,1837.5,1845,1850,1825,1795,1790,1750,1762.5
"33157","Village of Palmetto Bay","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2750.5,2969,3100,2600,2817.5,3190,3195,3000,3075,3250,3000,2970,3000,2650,3050,3000,2895,3000,2665,2750,2800,2825,3050,3150,3000,3200,3000,2995,2700,2750
"94513","Brentwood","CA","San Francisco-Oakland-Hayward","Contra Costa County",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2425,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2437.5,2550,2695,2600,2600,2600,2695,2650,2580,2600,2500,2500,2590,2797.5,2750,2750,2777,2700,2600,2700,2700,2697.5,2700,2786,2715,2850,2850,2800,2800,2825,2900,2800,2750
"32765","Oviedo","FL","Orlando-Kissimmee-Sanford","Seminole County",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.5,2097.5,2000,2000,2060,2102.5,2120,2195,2152.5,2000,2000,2117.5
"83646","Meridian","ID","Boise City","Ada County",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1700,1750,1772.5,1797.5,1672.5,1595,1662.5,1685,1650,1750,1772.5,1850,1850,1849.5,1850,1795,1875,1795
"77375","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris County",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1675,1675,1800,1950,1975,1825,1850,1800,1850,1812.5,1850,1875,1925,1950,1997.5,1997.5,1972.5,2100,1900,1900,1850,1795,1775,1850,1850,1897.5,1895,2019.5,1900,1900,1900,1900,1800,1975
"60637","Chicago","IL","Chicago-Naperville-Elgin","Cook County",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,1300,1300,1300,1250,1250,1250,1300,1350,1350,1300,1250,1300,1350,1350,1300,1350,1350,1300,1300,1300,1350,1350,1400,1500,1350,1400,1450,1400,1350,1350,1400,1372.5,1397.5
"30066","Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.5,1850,1937.5,1886,1995,1913,1895,1895,1895,1895,1895,1910,1835,1950,1995,1950,1900,1995,1982.5,1937.5,1900
"92618","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4175,4125,4100,4200,4100,4150,4200,4150,4200,4250,4000,4150,4195,4150,4350,4500,4500,4300,4500,4375,4375,4100,4200,4150,4200,4200,4200,4250,4500,4500,4500,4500,4375,4500
"33578","Riverview","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1519,1530,1550,1517,1525,1550,1600,1610,1587.5,1600,1550,1550,1585,1550,1597.5,1600,1675,1675,1690,1695,1655,1650,1650,1650,1650,1695,1749.5,1750,1750,1750,1749.5,1767.5,1782.5,1780,1775
